State,id,Year,Supportive Services,Congregate Meals,Home Meals,Preventive Services,NFCSP,Total Title III,pop60,pct_chng_pop60,pct_chng_title3
Vermont,50,2009,1795942,2158368,1065886,105130,766492,5891818,127342,0.017566867,0.048493243
Vermont,50,2010,1830190,2190101,1081558,105130,766267,5973246,131777,0.033655342,0.013820522
Vermont,50,2011,1827011,2186289,1079676,104920,764933,5962829,136675,0.035836839,-0.001743943
Vermont,50,2012,1823319,2181871,1077497,104722,763390,5950799,142329,0.039724863,-0.002017499
Vermont,50,2013,1728330,2068203,1021362,98657,723620,5640172,148810,0.043552181,-0.052199209
Vermont,50,2014,1721234,2169045,1071165,98248,720651,5780343,151361,0.016853747,0.024852256
Virginia,51,2006,7864960,7857858,4178884,491685,3391865,23785252,1238524,0.057218915,-0.007744972
Virginia,51,2007,7881987,8469908,4360557,492697,3393038,24598187,1295052,0.043649213,0.034178112
Virginia,51,2008,7867241,8920723,4504465,484934,3376011,25153374,1341091,0.034329512,0.022570241
Virginia,51,2009,8246003,9912439,5023160,484930,3417589,27084121,1375436,0.024970264,0.076758967
Virginia,51,2010,8507855,10183122,5121931,484930,3437386,27735224,1436933,0.042797403,0.024040027
Virginia,51,2011,8499074,10192972,5121210,483960,3446280,27743496,1486900,0.033604815,0.000298249
Virginia,51,2012,8467596,10162304,5126561,483047,3445502,27685010,1534256,0.030865775,-0.002108098
Virginia,51,2013,7783845,9237708,4878911,455071,3290920,25646455,1574303,0.025437924,-0.073633891
Virginia,51,2014,7751887,10058787,5130546,453184,3301214,26695618,1633947,0.03650302,0.040908695
Washington,53,2006,6450052,6444227,3427102,403231,2851120,19575732,1038082,0.071926881,-0.005574366
Washington,53,2007,6488056,6972003,3589392,405563,2852106,20307120,1094674,0.051697583,0.037361975
Washington,53,2008,6460393,7438172,3755860,397694,2850212,20902331,1126487,0.028240894,0.029310459
Washington,53,2009,6927144,8327051,4219760,397692,2883863,22755510,1162478,0.030960586,0.088658963
Washington,53,2010,7172705,8585070,4318139,397692,2894555,23368161,1219764,0.046964823,0.026923194
Washington,53,2011,7221988,8661357,4351688,396896,2900557,23532486,1277312,0.045053988,0.007032004
Washington,53,2012,7217466,8661973,4369691,396147,2923761,23569038,1329565,0.039300824,0.001553257
Washington,53,2013,6383529,7951293,4199488,373204,2807974,21715488,1373911,0.0322772,-0.07864343
Washington,53,2014,6357321,8686777,4430744,371656,2808735,22655233,1422823,0.034376729,0.043275334
West Virginia,54,2006,2773538,3305947,1319658,155270,1113536,8667949,377447,0.039809563,-0.006257018
West Virginia,54,2007,2774497,3328142,1346993,155324,1113921,8718877,382254,0.012575408,0.005875438
West Virginia,54,2008,2774342,3337059,1364576,153138,1082369,8711484,397730,0.038910819,-0.00084793
West Virginia,54,2009,2781416,3347126,1494599,153137,1082333,8858611,402217,0.01115567,0.016888856
West Virginia,54,2010,2780196,3329269,1505721,153137,1073857,8842180,425017,0.053644913,-0.001854805
West Virginia,54,2011,2773538,3305947,1494917,152831,1067786,8795019,433125,0.018719769,-0.005333639
West Virginia,54,2012,2773538,3305947,1527382,152542,1079225,8838634,446645,0.030270125,0.004959057
West Virginia,54,2013,2744933,3305947,1431503,143708,1008212,8634303,449646,0.006674139,-0.023117939
West Virginia,54,2014,2733663,3305947,1491504,143112,997669,8671895,459791,0.022064373,0.004353797
Wisconsin,55,2006,6390390,7586993,3373301,396901,2993725,20741310,974028,0.057027108,-0.008147738
Wisconsin,55,2007,6392600,7637929,3471427,397038,2994761,20893755,1008371,0.034057901,0.007349825
Wisconsin,55,2008,6392244,7658393,3536783,391451,2869624,20848495,1027630,0.018741181,-0.002166198
Wisconsin,55,2009,6429923,7729347,3916871,391448,2887829,21355418,1060472,0.030969229,0.024314609
Wisconsin,55,2010,6566139,7859067,3952972,391448,2861507,21631133,1088201,0.025481506,0.012910775
Wisconsin,55,2011,6539594,7842960,3940504,390666,2853414,21567138,1133891,0.040294878,-0.002958467
Wisconsin,55,2012,6509748,7812612,3941216,389928,2887461,21540965,1168256,0.029415642,-0.001213559
Wisconsin,55,2013,6324483,7586993,3726193,367345,2709247,20714261,1202202,0.028236519,-0.038378225
Wisconsin,55,2014,6298516,7687478,3921045,365822,2688849,20961710,1242638,0.03254045,0.011945828
Wyoming,56,2006,1746341,1919299,906082,106594,777878,5456194,88965,0.034103299,-0.00608098
Wyoming,56,2007,1749360,1983727,936395,106779,779224,5555485,91048,0.022878042,0.01819785
Wyoming,56,2008,1749717,2039714,962745,105130,762013,5619319,93394,0.025119387,0.011490266
Wyoming,56,2009,1795942,2158368,1065886,105130,766492,5891818,95227,0.019248742,0.048493243
Wyoming,56,2010,1830190,2190101,1081558,105130,766267,5973246,101637,0.063067584,0.013820522
Wyoming,56,2011,1827011,2186289,1079676,104920,764933,5962829,104667,0.028948952,-0.001743943
Wyoming,56,2012,1823319,2181871,1077497,104722,763390,5950799,111143,0.058267277,-0.002017499
Wyoming,56,2013,1728330,2068203,1021362,98657,723620,5640172,115774,0.040000346,-0.052199209
Wyoming,56,2014,1721234,2169045,1071165,98248,720651,5780343,120582,0.039873281,0.024852256
US Total,US,2006,342456229,376734331,177735950,20912128,152757916,1070596554,50760080,0.059103788,-0.006162067
US Total,US,2007,343035636,389191105,183656189,20947541,153013912,1089844383,52455067,0.032313122,0.017978602
US Total,US,2008,343126381,400019609,188789272,20624982,149575848,1102136092,54087228,0.030176459,0.011278407
US Total,US,2009,352035418,423042770,209001235,20624841,150402319,1155106583,55526032,0.025912242,0.048061661
US Total,US,2010,358703569,429209681,212066095,20624841,150321009,1170925195,57512803,0.034544847,0.013694504
US Total,US,2011,358049207,428416509,211676511,20583591,150008285,1168734103,59275916,0.029744171,-0.001871248
